Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/01/2026,01/02/2026,AMAZON.COM,Shopping,Sale,27.42,
01/01/2026,01/02/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,17.26,
01/02/2026,01/03/2026,SWEETGREEN,Food & Drink,Sale,17.58,
01/04/2026,01/06/2026,DOORDASH,Food & Drink,Sale,47.3,
01/05/2026,01/06/2026,AMAZON.COM,Shopping,Sale,65.86,
01/07/2026,01/10/2026,DOORDASH,Food & Drink,Sale,28.73,
01/07/2026,01/09/2026,UBER,Travel,Sale,18.92,
01/07/2026,01/09/2026,LYFT,Travel,Sale,21.3,
01/07/2026,01/08/2026,ZARA USA,Shopping,Sale,41.95,
01/08/2026,01/09/2026,STARBUCKS,Food & Drink,Sale,10.72,
01/12/2026,01/15/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,15.06,
01/12/2026,01/15/2026,SWEETGREEN,Food & Drink,Sale,18.72,
01/14/2026,01/17/2026,STARBUCKS,Food & Drink,Sale,11.05,
01/14/2026,01/17/2026,SWEETGREEN,Food & Drink,Sale,19.91,
01/14/2026,01/15/2026,INTEREST CHARGE,Fees & Adjustments,Sale,5.64,
01/15/2026,01/17/2026,STARBUCKS,Food & Drink,Sale,7.14,
01/15/2026,01/17/2026,APPLE.COM/BILL,Shopping,Sale,21.24,
01/16/2026,01/19/2026,NIKE.COM,Shopping,Sale,136.48,
01/17/2026,01/20/2026,UBER,Travel,Sale,24.8,
01/18/2026,01/19/2026,AMAZON.COM,Shopping,Sale,152.71,
01/18/2026,01/19/2026,SPOTIFY USA,Entertainment,Sale,11.0,
01/19/2026,01/22/2026,AMAZON.COM,Shopping,Sale,39.44,
01/20/2026,01/22/2026,UBER,Travel,Sale,24.26,
01/20/2026,01/23/2026,APPLE.COM/BILL,Shopping,Sale,11.7,
01/21/2026,01/24/2026,AMC THEATERS,Entertainment,Sale,23.7,
01/21/2026,01/24/2026,CVS PHARMACY,Health & Wellness,Sale,17.14,
01/21/2026,01/24/2026,ELECTRIC BILL PAYMENT,Bills & Utilities,Sale,80.33,
01/22/2026,01/23/2026,STARBUCKS,Food & Drink,Sale,7.79,
01/22/2026,01/25/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,13.99,
01/22/2026,01/24/2026,LYFT,Travel,Sale,14.52,
01/23/2026,01/25/2026,LYFT,Travel,Sale,19.09,
01/23/2026,01/25/2026,CVS PHARMACY,Health & Wellness,Sale,31.24,
01/24/2026,01/25/2026,DOORDASH,Food & Drink,Sale,52.4,
01/24/2026,01/25/2026,NETFLIX.COM,Entertainment,Sale,15.0,
01/26/2026,01/27/2026,STARBUCKS,Food & Drink,Sale,6.87,
01/26/2026,01/29/2026,STARBUCKS,Food & Drink,Sale,5.76,
01/26/2026,01/27/2026,STARBUCKS,Food & Drink,Sale,6.56,
01/26/2026,01/29/2026,STEAM PURCHASE,Entertainment,Sale,18.48,
01/27/2026,01/28/2026,AMC THEATERS,Entertainment,Sale,29.44,
01/28/2026,01/29/2026,STARBUCKS,Food & Drink,Sale,11.01,
01/29/2026,02/01/2026,AMAZON.COM,Shopping,Sale,164.15,
01/29/2026,01/31/2026,DOORDASH,Food & Drink,Sale,54.08,
01/31/2026,02/03/2026,UBER,Travel,Sale,25.95,
01/31/2026,02/03/2026,UBER,Travel,Sale,30.18,
01/31/2026,02/01/2026,AUTOMATIC PAYMENT - THANK YOU,Payment,Payment,-2313.46,
02/01/2026,02/02/2026,AMAZON.COM,Shopping,Sale,131.79,
02/02/2026,02/03/2026,CHIPOTLE MEXICAN GRILL,Food & Drink,Sale,14.27,
02/02/2026,02/05/2026,SWEETGREEN,Food & Drink,Sale,18.41,
02/03/2026,02/05/2026,AMAZON.COM,Shopping,Sale,18.47,
02/03/2026,02/04/2026,STARBUCKS,Food & Drink,Sale,6.16,
02/03/2026,02/06/2026,UBER,Travel,Sale,10.56,
02/03/2026,02/04/2026,SPOTIFY USA,Entertainment,Sale,11.0,
02/03/2026,02/06/2026,APPLE.COM/BILL,Shopping,Sale,8.76,
02/04/2026,02/05/2026,STARBUCKS,Food & Drink,Sale,7.82,
02/05/2026,02/07/2026,NIKE.COM,Shopping,Sale,70.39,
02/07/2026,02/10/2026,STARBUCKS,Food & Drink,Sale,8.14,
02/07/2026,02/09/2026,SWEETGREEN,Food & Drink,Sale,15.31,
02/08/2026,02/10/2026,DOORDASH,Food & Drink,Sale,48.26,
02/08/2026,02/09/2026,STARBUCKS,Food & Drink,Sale,8.1,
02/08/2026,02/10/2026,STEAM PURCHASE,Entertainment,Sale,24.25,
